date,open,high,low,close
2019-02-15,11044.800,11323.050,11018.950,11299.800
2019-02-14,11257.800,11260.550,11077.780,11089.790
2019-02-13,11174.850,11217.300,11125.590,11167.220
2019-02-12,11123.430,11164.380,11116.860,11126.080
2019-02-11,10955.830,11041.950,10944.580,11014.590
2019-02-08,10991.790,11045.410,10863.560,10906.780
2019-02-07,11262.970,11286.460,11022.020,11022.020
2019-02-06,11337.540,11347.940,11297.420,11324.720
2019-02-05,11178.750,11371.740,11177.700,11367.980
2019-02-04,11180.420,11209.310,11100.340,11176.580
2019-02-01,11198.460,11218.510,11116.080,11180.660
2019-01-31,11257.920,11311.370,11051.110,11173.100
2019-01-30,11210.680,11215.210,11132.380,11181.660
2019-01-29,11191.520,11276.280,11159.170,11218.830
2019-01-28,11233.160,11275.210,11196.420,11210.310
2019-01-25,11234.050,11321.620,11218.350,11281.790
2019-01-24,11045.640,11149.320,11032.530,11130.180
2019-01-23,11043.640,11135.750,11007.210,11071.540
2019-01-22,11076.980,11142.220,11034.550,11090.110
2019-01-21,11176.120,11179.910,11125.530,11136.200
2019-01-18,11001.310,11216.820,10993.830,11205.540
2019-01-17,10852.500,10929.300,10822.250,10918.620
2019-01-16,10940.360,10947.870,10866.390,10931.240
2019-01-15,10962.950,10994.830,10812.590,10891.790
2019-01-14,10820.850,10886.230,10786.750,10855.910
2019-01-11,10949.130,10959.000,10829.920,10887.460
2019-01-10,10843.890,10927.130,10788.050,10921.590
2019-01-09,10884.750,10961.920,10839.090,10893.320
2019-01-08,10750.190,10910.710,10745.030,10803.980
2019-01-07,10814.390,10814.470,10681.270,10747.810
2019-01-04,10533.940,10786.340,10483.900,10767.690
2019-01-03,10467.110,10538.660,10400.110,10416.660
2019-01-02,10477.770,10612.720,10386.970,10580.190
2018-12-28,10452.020,10586.800,10431.380,10558.960
2018-12-27,10607.420,10635.450,10279.200,10381.510
2018-12-21,10573.080,10654.660,10512.640,10633.820
2018-12-20,10621.180,10686.370,10563.440,10611.100
2018-12-19,10777.420,10831.440,10749.550,10766.210
2018-12-18,10744.280,10841.420,10714.970,10740.890
2018-12-17,10852.990,10886.800,10700.620,10772.200
2018-12-14,10809.580,10903.390,10733.750,10865.770
2018-12-13,10978.680,10988.770,10887.260,10924.700
2018-12-12,10832.040,10971.120,10815.510,10929.430
2018-12-11,10711.400,10884.620,10684.620,10780.510
2018-12-10,10726.170,10757.730,10585.770,10622.070
2018-12-07,10876.340,10927.370,10788.090,10788.090
2018-12-06,11053.580,11063.440,10762.410,10810.980
2018-12-05,11204.320,11266.280,11177.150,11200.240
2018-12-04,11429.820,11442.190,11330.440,11335.320
2018-12-03,11534.750,11566.970,11457.610,11465.460
2018-11-30,11311.660,11315.300,11208.600,11257.240
2018-11-29,11377.210,11403.720,11275.700,11298.230
2018-11-28,11355.800,11358.800,11279.460,11298.880
2018-11-27,11380.790,11400.050,11264.650,11309.110
2018-11-26,11315.900,11390.930,11301.820,11354.720
2018-11-23,11146.550,11205.990,11093.520,11192.690
2018-11-22,11216.290,11221.770,11119.040,11138.490
2018-11-21,11138.250,11257.830,11113.340,11244.170
2018-11-20,11157.650,11187.160,11009.250,11066.410
2018-11-19,11384.000,11419.550,11231.590,11244.540
2018-11-16,11425.800,11448.560,11233.210,11341.000
2018-11-15,11447.840,11500.660,11254.920,11353.670
2018-11-14,11394.750,11566.790,11314.600,11412.530
2018-11-13,11374.110,11495.690,11349.940,11472.220
2018-11-12,11591.590,11598.510,11310.720,11325.440
2018-11-09,11489.190,11549.060,11418.350,11529.160
2018-11-08,11629.000,11648.790,11503.360,11527.320
2018-11-07,11542.090,11634.810,11532.340,11579.100
2018-11-06,11518.170,11528.520,11436.530,11484.340
2018-11-05,11522.330,11555.970,11479.190,11494.960
2018-11-02,11636.370,11689.960,11518.870,11518.990
2018-11-01,11419.610,11575.430,11416.360,11468.540
2018-10-31,11417.090,11499.380,11391.640,11447.510
2018-10-30,11391.780,11394.370,11212.580,11287.390
2018-10-29,11270.670,11444.860,11218.920,11335.480
2018-10-26,11180.960,11205.830,11051.040,11200.620
2018-10-25,11098.680,11324.920,11078.370,11307.120
2018-10-24,11298.650,11391.940,11166.840,11191.630
2018-10-23,11367.570,11394.210,11228.500,11274.280
2018-10-22,11665.680,11677.450,11497.090,11524.340
2018-10-19,11578.850,11617.280,11498.690,11553.830
2018-10-18,11695.190,11791.220,11586.320,11589.210
2018-10-17,11811.470,11847.790,11669.960,11715.030
2018-10-16,11637.620,11790.150,11606.970,11776.550
2018-10-15,11523.810,11625.020,11459.080,11614.160
2018-10-12,11691.470,11693.840,11514.550,11523.810
2018-10-11,11558.980,11700.500,11518.560,11539.350
2018-10-10,11976.700,11978.800,11712.270,11712.500
2018-10-09,11963.630,11998.640,11803.190,11977.220
2018-10-08,12044.960,12072.270,11938.800,11947.160
2018-10-05,12236.290,12245.410,12103.550,12111.900
2018-10-04,12275.070,12348.860,12174.690,12244.140
2018-10-02,12229.070,12310.760,12203.600,12287.580
2018-10-01,12265.890,12373.290,12263.100,12339.030
2018-09-28,12381.360,12394.160,12190.570,12246.730
2018-09-27,12329.400,12456.690,12272.650,12435.590
2018-09-26,12395.200,12395.920,12329.520,12385.890
2018-09-25,12341.850,12416.870,12322.190,12374.660
2018-09-24,12383.420,12409.960,12349.300,12350.820
2018-09-21,12402.720,12458.300,12373.950,12430.880
2018-09-20,12210.950,12354.380,12210.570,12326.480
2018-09-19,12168.200,12241.140,12165.080,12219.020
2018-09-18,12097.190,12184.410,12064.410,12157.670
2018-09-17,12056.380,12123.090,12040.800,12096.410
2018-09-14,12109.370,12134.540,12075.580,12124.330
2018-09-13,12036.790,12129.810,12017.410,12055.550
2018-09-12,11989.270,12046.660,11952.490,12032.300
2018-09-11,12013.010,12017.730,11865.470,11970.270
2018-09-10,11950.550,12039.220,11930.300,11986.340
2018-09-07,11960.100,11990.810,11888.570,11959.630
2018-09-06,11995.810,12091.980,11944.500,11955.250
2018-09-05,12161.650,12167.360,12035.760,12040.460
2018-09-04,12389.460,12402.870,12162.710,12210.210
2018-09-03,12338.360,12358.170,12300.470,12346.410
2018-08-31,12418.260,12426.860,12348.910,12364.060
2018-08-30,12516.550,12529.300,12400.120,12494.240
2018-08-29,12553.860,12569.060,12499.530,12561.680
2018-08-28,12578.650,12597.020,12527.420,12527.420
2018-08-27,12462.750,12562.370,12429.340,12538.310
2018-08-24,12396.690,12444.350,12344.450,12394.520
2018-08-23,12367.480,12411.010,12353.550,12365.580
2018-08-22,12355.530,12438.660,12345.320,12385.700
2018-08-21,12320.560,12432.660,12316.350,12384.490
2018-08-20,12263.010,12373.360,12245.560,12331.300
2018-08-17,12242.060,12244.670,12135.640,12210.550
2018-08-16,12202.130,12251.400,12168.920,12237.170
2018-08-15,12400.270,12428.560,12120.650,12163.010
2018-08-14,12444.630,12461.820,12294.900,12358.870
2018-08-13,12346.750,12396.860,12323.200,12358.740
2018-08-10,12574.200,12585.830,12390.400,12424.350
2018-08-09,12623.140,12696.520,12577.340,12676.110
2018-08-08,12622.980,12704.580,12586.230,12633.540
2018-08-07,12656.870,12738.530,12646.160,12648.190
2018-08-06,12631.400,12715.780,12538.350,12598.210
2018-08-03,12572.610,12644.520,12561.620,12615.760
2018-08-02,12617.630,12619.600,12493.200,12546.330
2018-08-01,12826.700,12833.110,12706.340,12737.050
2018-07-31,12809.740,12860.590,12739.830,12805.500
2018-07-30,12822.870,12848.950,12798.200,12798.200
2018-07-27,12825.750,12886.830,12815.120,12860.400
2018-07-26,12732.880,12827.710,12701.560,12809.230
2018-07-25,12685.680,12695.120,12538.120,12579.330
2018-07-24,12590.790,12755.270,12585.910,12689.390
2018-07-23,12510.230,12565.120,12489.330,12548.570
2018-07-20,12664.450,12706.840,12469.500,12561.420
2018-07-19,12740.680,12759.420,12658.370,12686.290
2018-07-18,12728.410,12778.960,12715.520,12765.940
2018-07-17,12566.970,12688.500,12522.050,12661.540
2018-07-16,12530.980,12604.240,12506.990,12561.020
2018-07-13,12549.230,12583.790,12499.300,12540.730
2018-07-12,12464.060,12505.200,12408.630,12492.970
2018-07-11,12506.990,12514.750,12398.470,12417.130
2018-07-10,12580.310,12639.790,12530.710,12609.850
2018-07-09,12541.740,12559.970,12490.400,12543.890
2018-07-06,12506.270,12508.080,12426.400,12496.170
2018-07-05,12363.050,12516.510,12361.860,12464.290
2018-07-04,12323.750,12350.680,12284.560,12317.610
2018-07-03,12321.070,12428.140,12278.390,12349.140
2018-07-02,12147.940,12301.930,12132.720,12238.170
2018-06-29,12322.640,12382.870,12260.910,12306.000
2018-06-28,12289.810,12375.370,12104.410,12177.230
2018-06-27,12247.750,12439.910,12124.870,12348.610
2018-06-26,12333.440,12355.860,12188.500,12234.340
2018-06-25,12497.480,12518.890,12270.330,12270.330
2018-06-22,12507.720,12579.720,12486.260,12579.720
2018-06-21,12699.710,12719.450,12472.980,12511.910
2018-06-20,12731.660,12760.200,12670.780,12695.160
2018-06-19,12647.070,12708.710,12594.510,12677.970
2018-06-18,12945.530,12982.920,12784.480,12834.110
2018-06-15,13115.850,13170.050,13010.540,13010.550
2018-06-14,12806.070,13135.970,12800.660,13107.100
2018-06-13,12857.160,12905.670,12781.230,12890.580
2018-06-12,12924.030,12948.520,12816.070,12842.300
2018-06-11,12816.320,12861.950,12751.660,12842.910
2018-06-08,12668.770,12795.640,12610.680,12766.550
2018-06-07,12877.850,12914.850,12760.540,12811.050
2018-06-06,12813.390,12872.900,12729.230,12830.070
2018-06-05,12766.160,12925.240,12753.300,12787.130
2018-06-04,12839.440,12846.260,12714.030,12770.750
2018-06-01,12678.070,12800.450,12660.790,12724.270
2018-05-31,12796.160,12803.600,12547.610,12604.890
2018-05-30,12693.330,12783.760,12663.370,12783.760
2018-05-29,12786.150,12803.290,12608.700,12666.510
2018-05-28,13016.550,13040.630,12828.260,12863.460
2018-05-25,12917.150,13002.470,12852.170,12938.010
2018-05-24,12955.940,13006.440,12801.820,12855.090
2018-05-23,13138.830,13148.050,12929.900,12976.840
2018-05-22,13132.560,13204.310,13061.770,13169.920
2018-05-18,13115.630,13133.190,13051.130,13077.720
2018-05-17,12985.140,13114.630,12981.890,13114.610
2018-05-16,12983.490,13030.760,12960.530,12996.330
